id ,kode,nama,kategori,link_kategori,jenis,stock,harga_beli,suplier,tanggal_masuk,tanggal_update,created_at,updated_at,d_ss,L,Z,SS,d_rop,ROP,AU,stock_max,jumlah_harus_beli,status_material
32,CBS-SC-15,Carbon Steel S15C,Carbon Steel,CBS,JIS,42,150000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,10,2,38,0,
33,CBS-SC-17,Carbon Steel S17C,Carbon Steel,CBS,JIS,33,250000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,9,2,33,0,
34,CBS-SC-20,Carbon Steel S20C,Carbon Steel,CBS,JIS,40,200000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,10,2,38,0,
35,CBS-SC-22,Carbon Steel S22C,Carbon Steel,CBS,JIS,20,250000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,9,2,34,14,
36,CBS-SC-25,Carbon Steel S25C,Carbon Steel,CBS,JIS,35,200000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,10,2,35,0,
37,CBS-SC-28,Carbon Steel S28C,Carbon Steel,CBS,JIS,0,300000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,11,2,39,39,
38,CBS-SC-30,Carbon Steel S30C,Carbon Steel,CBS,JIS,2,250000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,10,2,37,35,
39,CBS-SC-38,Carbon Steel S38C,Carbon Steel,CBS,JIS,25,200000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,11,2,41,16,
40,CBS-SC-40,Carbon Steel S40C,Carbon Steel,CBS,JIS,0,300000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,9,2,34,34,
41,CBS-SC-43,Carbon Steel S43C,Carbon Steel,CBS,JIS,12,150000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,11,2,38,26,
42,CBS-SC-45,Carbon Steel S45C,Carbon Steel,CBS,JIS,4,250000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,9,2,32,28,
43,CBS-SC-50,Carbon Steel S50C,Carbon Steel,CBS,JIS,37,200000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,10,2,35,0,
44,CBS-SC-53,Carbon Steel S53C,Carbon Steel,CBS,JIS,19,300000,PT. Gemilang Mahakarya ,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,8/8/2022 1:38,,5,,1,,9,2,33,14,
