id ,kode,nama,kategori,link_kategori,jenis,stock,harga_beli,suplier,tanggal_masuk,created_at,updated_at,d_ss,L,Z,SS,d_rop,ROP,AU
40,CBS-SC-40,Carbon Steel S40C,Carbon Steel,CBS,JIS,80,,PT. Gemilang Mahakarya ,,9/11/2022 1:38,9/11/2022 1:38,,5,,0.9,,9,2
41,CBS-SC-43,Carbon Steel S43C,Carbon Steel,CBS,JIS,54,,PT. Gemilang Mahakarya ,,9/12/2022 1:38,9/12/2022 1:38,,5,,1,,11,2
42,CBS-SC-45,Carbon Steel S45C,Carbon Steel,CBS,JIS,32,,PT. Gemilang Mahakarya ,,9/13/2022 1:38,9/13/2022 1:38,,5,,0.8,,9,2
43,CBS-SC-50,Carbon Steel S50C,Carbon Steel,CBS,JIS,13,,PT. Gemilang Mahakarya ,,9/14/2022 1:38,9/14/2022 1:38,,5,,0.9,,10,2
44,CBS-SC-53,Carbon Steel S53C,Carbon Steel,CBS,JIS,53,,PT. Gemilang Mahakarya ,,9/15/2022 1:38,9/15/2022 1:38,,5,,0.8,,9,2
45,CBS-SC-55,Carbon Steel S55C,Carbon Steel,CBS,JIS,12,,PT. Gemilang Mahakarya ,,9/16/2022 1:38,9/16/2022 1:38,,5,,0.8,,9,2
46,CBS-SC-58,Carbon Steel S58C,Carbon Steel,CBS,JIS,32,,PT. Gemilang Mahakarya ,,9/17/2022 1:38,9/17/2022 1:38,,5,,0.9,,10,2
47,CBS-SC-35,Carbon Steel S35C,Carbon Steel,CBS,JIS,43,,PT. Gemilang Mahakarya ,,9/18/2022 1:38,9/18/2022 1:38,,5,,0.9,,9,2
48,CBS-SC-21,Carbon Steel S21C,Carbon Steel,CBS,JIS,70,,PT. Gemilang Mahakarya ,,9/19/2022 1:38,9/19/2022 1:38,,5,,0.9,,10,2
49,CBS-SC-35,Carbon Steel S35C,Carbon Steel,CBS,JIS,60,,PT. Gemilang Mahakarya ,,9/20/2022 1:38,9/20/2022 1:38,,5,,1,,11,2
50,CBS-SC-78,Carbon Steel S78C,Carbon Steel,CBS,JIS,72,,PT. Gemilang Mahakarya ,,9/21/2022 1:38,9/21/2022 1:38,,5,,1,,11,2
51,CBS-SC-44,Carbon Steel S44C,Carbon Steel,CBS,JIS,43,,PT. Gemilang Mahakarya ,,9/22/2022 1:38,9/22/2022 1:38,,5,,0.8,,9,2
52,CBS-AIS-1015,Carbon Steel AISI1015,Carbon Steel,CBS,AISI,76,,PT. Gemilang Mahakarya ,,9/23/2022 1:38,9/23/2022 1:38,,5,,1,,11,2
53,CBS-AIS-1017,Carbon Steel AISI1017,Carbon Steel,CBS,AISI,33,,PT. Gemilang Mahakarya ,,9/24/2022 1:38,9/24/2022 1:38,,5,,0.9,,10,2
54,CBS-AIS-1020,Carbon Steel AISI1020,Carbon Steel,CBS,AISI,43,,PT. Gemilang Mahakarya ,,9/25/2022 1:38,9/25/2022 1:38,,5,,0.8,,8,2
55,CBS-AIS-1023,Carbon Steel AISI1023,Carbon Steel,CBS,AISI,35,,PT. Gemilang Mahakarya ,,9/26/2022 1:38,9/26/2022 1:38,,5,,0.7,,8,1
56,CBS-AIS-1025,Carbon Steel AISI1025,Carbon Steel,CBS,AISI,39,,PT. Gemilang Mahakarya ,,9/27/2022 1:38,9/27/2022 1:38,,5,,1,,11,2
57,CBS-AIS-1029,Carbon Steel AISI1029,Carbon Steel,CBS,AISI,71,,PT. Gemilang Mahakarya ,,9/28/2022 1:38,9/28/2022 1:38,,5,,0.9,,9,2
58,CBS-AIS-1030,Carbon Steel AISI1030,Carbon Steel,CBS,AISI,6,,PT. Gemilang Mahakarya ,,9/29/2022 1:38,9/29/2022 1:38,,5,,0.9,,9,2
59,CBS-AIS-1038,Carbon Steel AISI1038,Carbon Steel,CBS,AISI,14,,PT. Gemilang Mahakarya ,,9/30/2022 1:38,9/30/2022 1:38,,5,,0.9,,10,2
60,CBS-AIS-1040,Carbon Steel AISI1040,Carbon Steel,CBS,AISI,64,,PT. Gemilang Mahakarya ,,10/1/2022 1:38,10/1/2022 1:38,,5,,0.9,,10,2
61,CBS-AIS-1043,Carbon Steel AISI1043,Carbon Steel,CBS,AISI,3,,PT. Gemilang Mahakarya ,,10/2/2022 1:38,10/2/2022 1:38,,5,,1,,11,2
62,CBS-AIS-1045,Carbon Steel AISI1045,Carbon Steel,CBS,AISI,15,,PT. Gemilang Mahakarya ,,10/3/2022 1:38,10/3/2022 1:38,,5,,0.7,,8,1
63,CBS-AIS-1049,Carbon Steel AISI1049,Carbon Steel,CBS,AISI,46,,PT. Gemilang Mahakarya ,,10/4/2022 1:38,10/4/2022 1:38,,5,,1,,11,2
64,CBS-AIS-1053,Carbon Steel AISI1053,Carbon Steel,CBS,AISI,62,,PT. Gemilang Mahakarya ,,10/5/2022 1:38,10/5/2022 1:38,,5,,0.9,,10,2
65,CBS-AIS-1055,Carbon Steel AISI1055,Carbon Steel,CBS,AISI,34,,PT. Gemilang Mahakarya ,,10/6/2022 1:38,10/6/2022 1:38,,5,,1,,11,2
66,CBS-AIS-1059,Carbon Steel AISI1059,Carbon Steel,CBS,AISI,22,,PT. Gemilang Mahakarya ,,10/7/2022 1:38,10/7/2022 1:38,,5,,1,,11,2
67,CBS-AIS-1035,Carbon Steel AISI1035,Carbon Steel,CBS,AISI,27,,PT. Gemilang Mahakarya ,,10/8/2022 1:38,10/8/2022 1:38,,5,,1,,11,2
68,CBS-AIS-1010,Carbon Steel AISI1010,Carbon Steel,CBS,AISI,42,,PT. Gemilang Mahakarya ,,10/9/2022 1:38,10/9/2022 1:38,,5,,0.8,,9,2
69,CBS-AIS-1012,Carbon Steel AISI1012,Carbon Steel,CBS,AISI,14,,PT. Gemilang Mahakarya ,,10/10/2022 1:38,10/10/2022 1:38,,5,,0.9,,10,2
70,CBS-AIS-1011,Carbon Steel AISI1011,Carbon Steel,CBS,AISI,47,,PT. Gemilang Mahakarya ,,10/11/2022 1:38,10/11/2022 1:38,,5,,0.8,,8,2
71,CBS-AIS-1014,Carbon Steel AISI1014,Carbon Steel,CBS,AISI,79,,PT. Gemilang Mahakarya ,,10/12/2022 1:38,10/12/2022 1:38,,5,,0.8,,8,2
72,CBS-AIS-1062,Carbon Steel AISI1061,Carbon Steel,CBS,AISI,65,,PT. Gemilang Mahakarya ,,10/13/2022 1:38,10/13/2022 1:38,,5,,0.8,,9,2
73,CBS-AIS-1022,Carbon Steel AISI1022,Carbon Steel,CBS,AISI,45,,PT. Gemilang Mahakarya ,,10/14/2022 1:38,10/14/2022 1:38,,5,,0.8,,9,2
74,CBS-AIS-1026,Carbon Steel AISI1026,Carbon Steel,CBS,AISI,47,,PT. Gemilang Mahakarya ,,10/15/2022 1:38,10/15/2022 1:38,,5,,0.8,,9,2
75,CBS-AIS-1027,Carbon Steel AISI1027,Carbon Steel,CBS,AISI,45,,PT. Gemilang Mahakarya ,,10/16/2022 1:38,10/16/2022 1:38,,5,,1,,11,2
76,CBS-AIS-1032,Carbon Steel AISI1032,Carbon Steel,CBS,AISI,66,,PT. Gemilang Mahakarya ,,10/17/2022 1:38,10/17/2022 1:38,,5,,0.7,,8,1
77,SS-SUS-201,Stainless Steel SUS201,Stainless Steel,SS,JIS,50,,Inti Sarana Kreasi,,10/18/2022 1:38,10/18/2022 1:38,,3,,0.6,,6,2
78,SS-SUS-301,Stainless Steel SUS301,Stainless Steel,SS,JIS,31,,Inti Sarana Kreasi,,10/19/2022 1:38,10/19/2022 1:38,,3,,0.5,,5,2
79,SS-SUS-302,Stainless Steel SUS302,Stainless Steel,SS,JIS,15,,Inti Sarana Kreasi,,10/20/2022 1:38,10/20/2022 1:38,,3,,0.6,,6,2
80,SS-SUS-303,Stainless Steel SUS303SE,Stainless Steel,SS,JIS,26,,Inti Sarana Kreasi,,10/21/2022 1:38,10/21/2022 1:38,,3,,0.5,,6,2
81,SS-SUS-304,Stainless Steel SUS304L,Stainless Steel,SS,JIS,53,,Inti Sarana Kreasi,,10/22/2022 1:38,10/22/2022 1:38,,3,,0.6,,6,2
82,SS-SUS-304L,Stainless Steel SUS304LN,Stainless Steel,SS,JIS,63,,Inti Sarana Kreasi,,10/23/2022 1:38,10/23/2022 1:38,,3,,0.5,,5,2
83,SS-SUS-305,Stainless Steel SUS305,Stainless Steel,SS,JIS,34,,Inti Sarana Kreasi,,10/24/2022 1:38,10/24/2022 1:38,,3,,0.5,,6,2
84,SS-SUS-310,Stainless Steel SUS310S,Stainless Steel,SS,JIS,27,,Inti Sarana Kreasi,,10/25/2022 1:38,10/25/2022 1:38,,3,,0.5,,5,2
85,SS-SUS-316L,Stainless Steel SUS316L,Stainless Steel,SS,JIS,36,,Inti Sarana Kreasi,,10/26/2022 1:38,10/26/2022 1:38,,3,,0.6,,6,2
86,SS-SUS-316N,Stainless Steel SUS316N,Stainless Steel,SS,JIS,9,,Inti Sarana Kreasi,,10/27/2022 1:38,10/27/2022 1:38,,3,,0.5,,6,2
87,SS-SUS-316,Stainless Steel SUS316LN,Stainless Steel,SS,JIS,43,,Inti Sarana Kreasi,,10/28/2022 1:38,10/28/2022 1:38,,3,,0.5,,6,2
88,SS-SUS-317,Stainless Steel SUS317,Stainless Steel,SS,JIS,59,,Inti Sarana Kreasi,,10/29/2022 1:38,10/29/2022 1:38,,3,,0.5,,5,2
89,SS-SUS-317L,Stainless Steel SUS317L,Stainless Steel,SS,JIS,55,,Inti Sarana Kreasi,,10/30/2022 1:38,10/30/2022 1:38,,3,,0.4,,5,1
90,SS-SUS-890,Stainless Steel SUS890L,Stainless Steel,SS,JIS,26,,Inti Sarana Kreasi,,10/31/2022 1:38,10/31/2022 1:38,,3,,0.6,,7,2
91,SS-SUS-321,Stainless Steel SUS321,Stainless Steel,SS,JIS,71,,Inti Sarana Kreasi,,11/1/2022 1:38,11/1/2022 1:38,,3,,0.6,,7,2
92,SS-SUS-347,Stainless Steel SUS347,Stainless Steel,SS,JIS,46,,Inti Sarana Kreasi,,11/2/2022 1:38,11/2/2022 1:38,,3,,0.5,,6,2
93,SS-SUS-384,Stainless Steel SUS384,Stainless Steel,SS,JIS,18,,Inti Sarana Kreasi,,11/3/2022 1:38,11/3/2022 1:38,,3,,0.6,,6,2
94,SS-SUS-XM,Stainless Steel SUSXM7,Stainless Steel,SS,JIS,77,,Inti Sarana Kreasi,,11/4/2022 1:38,11/4/2022 1:38,,3,,0.5,,5,2
95,SS-SUS-32J1,Stainless Steel SUS329J1,Stainless Steel,SS,JIS,47,,Inti Sarana Kreasi,,11/5/2022 1:38,11/5/2022 1:38,,3,,0.6,,7,2
96,SS-SUS-32J3,Stainless Steel SUS329J3L,Stainless Steel,SS,JIS,13,,Inti Sarana Kreasi,,11/6/2022 1:38,11/6/2022 1:38,,3,,0.5,,5,2
97,SS-SUS-32J4,Stainless Steel SUS329J4L,Stainless Steel,SS,JIS,8,,Inti Sarana Kreasi,,11/7/2022 1:38,11/7/2022 1:38,,3,,0.5,,6,2
98,SS-SUS-405,Stainless Steel SUS405,Stainless Steel,SS,JIS,29,,Inti Sarana Kreasi,,11/8/2022 1:38,11/8/2022 1:38,,3,,0.5,,6,2
99,SS-SUS-429,Stainless Steel SUS429,Stainless Steel,SS,JIS,68,,Inti Sarana Kreasi,,11/9/2022 1:38,11/9/2022 1:38,,3,,0.6,,7,2
100,SS-SUS-430,Stainless Steel SUS430,Stainless Steel,SS,JIS,27,,Inti Sarana Kreasi,,11/10/2022 1:38,11/10/2022 1:38,,3,,0.4,,5,1
101,SS-SUS-430F,Stainless Steel SUS430F,Stainless Steel,SS,JIS,68,,Inti Sarana Kreasi,,11/11/2022 1:38,11/11/2022 1:38,,3,,0.6,,6,2
102,SS-SUS-434,Stainless Steel SUS434,Stainless Steel,SS,JIS,38,,Inti Sarana Kreasi,,11/12/2022 1:38,11/12/2022 1:38,,3,,0.6,,6,2
103,SS-SUS-436,Stainless Steel SUS436L,Stainless Steel,SS,JIS,71,,Inti Sarana Kreasi,,11/13/2022 1:38,11/13/2022 1:38,,3,,0.6,,7,2
104,SS-SUS-444,Stainless Steel SUS444,Stainless Steel,SS,JIS,14,,Inti Sarana Kreasi,,11/14/2022 1:38,11/14/2022 1:38,,3,,0.5,,6,2
105,SS-SUS-403,Stainless Steel SUS403,Stainless Steel,SS,JIS,33,,Inti Sarana Kreasi,,11/15/2022 1:38,11/15/2022 1:38,,3,,0.4,,5,1
106,SS-SUS-410,Stainless Steel SUS410,Stainless Steel,SS,JIS,16,,Inti Sarana Kreasi,,11/16/2022 1:38,11/16/2022 1:38,,3,,0.6,,6,2
107,SS-SUS-410S,Stainless Steel SUS410S,Stainless Steel,SS,JIS,61,,Inti Sarana Kreasi,,11/17/2022 1:38,11/17/2022 1:38,,3,,0.5,,6,2
108,SS-SUS-416,Stainless Steel SUS416,Stainless Steel,SS,JIS,51,,Inti Sarana Kreasi,,11/18/2022 1:38,11/18/2022 1:38,,3,,0.5,,6,2
109,SS-SUS-42J2,Stainless Steel SUS420J2,Stainless Steel,SS,JIS,6,,Inti Sarana Kreasi,,11/19/2022 1:38,11/19/2022 1:38,,3,,0.4,,5,1
110,SS-SUS-420F,Stainless Steel SUS420F,Stainless Steel,SS,JIS,54,,Inti Sarana Kreasi,,11/20/2022 1:38,11/20/2022 1:38,,3,,0.6,,6,2
111,SS-SUS-431,Stainless Steel SUS431,Stainless Steel,SS,JIS,59,,Inti Sarana Kreasi,,11/21/2022 1:38,11/21/2022 1:38,,3,,0.5,,5,2
112,SS-SUS-440C,Stainless Steel SUS440C,Stainless Steel,SS,JIS,10,,Inti Sarana Kreasi,,11/22/2022 1:38,11/22/2022 1:38,,3,,0.5,,5,2
113,SS-SUS-631,Stainless Steel SUS631,Stainless Steel,SS,JIS,73,,Inti Sarana Kreasi,,11/23/2022 1:38,11/23/2022 1:38,,3,,0.6,,7,2
114,SS-SUS-42J7,Stainless Steel SUS420J7,Stainless Steel,SS,JIS,64,,Inti Sarana Kreasi,,11/24/2022 1:38,11/24/2022 1:38,,3,,0.5,,6,2
115,SS-SUS-42F2,Stainless Steel SUS420F2,Stainless Steel,SS,JIS,25,,Inti Sarana Kreasi,,11/25/2022 1:38,11/25/2022 1:38,,3,,0.5,,6,2
116,SS-SUS-501,Stainless Steel SUS501,Stainless Steel,SS,JIS,20,,Inti Sarana Kreasi,,11/26/2022 1:38,11/26/2022 1:38,,3,,0.4,,5,1
117,SS-AIS-3105,Stainless Steel AISI3105,Stainless Steel,SS,AISI,59,,Inti Sarana Kreasi,,11/27/2022 1:38,11/27/2022 1:38,,3,,0.5,,5,2
118,SS-AIS-201,Stainless Steel AISI201,Stainless Steel,SS,AISI,30,,Inti Sarana Kreasi,,11/28/2022 1:38,11/28/2022 1:38,,3,,0.5,,6,2
119,SS-AIS-202,Stainless Steel AISI202,Stainless Steel,SS,AISI,60,,Inti Sarana Kreasi,,11/29/2022 1:38,11/29/2022 1:38,,3,,0.5,,6,2
120,SS-AIS-301,Stainless Steel AISI301,Stainless Steel,SS,AISI,39,,Inti Sarana Kreasi,,11/30/2022 1:38,11/30/2022 1:38,,3,,0.5,,6,2
121,SS-AIS-302,Stainless Steel AISI302,Stainless Steel,SS,AISI,23,,Inti Sarana Kreasi,,12/1/2022 1:38,12/1/2022 1:38,,3,,0.6,,6,2
122,SS-AIS-302B,Stainless Steel AISI302B,Stainless Steel,SS,AISI,29,,Inti Sarana Kreasi,,12/2/2022 1:38,12/2/2022 1:38,,3,,0.5,,6,2
123,SS-AIS-303,Stainless Steel AISI303,Stainless Steel,SS,AISI,48,,Inti Sarana Kreasi,,12/3/2022 1:38,12/3/2022 1:38,,3,,0.5,,6,2
124,SS-AIS-303S,Stainless Steel AISI303SE,Stainless Steel,SS,AISI,65,,Inti Sarana Kreasi,,12/4/2022 1:38,12/4/2022 1:38,,3,,0.5,,6,2
125,SS-AIS-304,Stainless Steel AISI304,Stainless Steel,SS,AISI,1,,Inti Sarana Kreasi,,12/5/2022 1:38,12/5/2022 1:38,,3,,0.5,,5,2
126,SS-AIS-304L,Stainless Steel AISI304L,Stainless Steel,SS,AISI,66,,Inti Sarana Kreasi,,12/6/2022 1:38,12/6/2022 1:38,,3,,0.5,,6,2
127,SS-AIS-304N,Stainless Steel AISI304N,Stainless Steel,SS,AISI,8,,Inti Sarana Kreasi,,12/7/2022 1:38,12/7/2022 1:38,,3,,0.5,,6,2
128,SS-AIS-30LN,Stainless Steel AISI304LN,Stainless Steel,SS,AISI,10,,Inti Sarana Kreasi,,12/8/2022 1:38,12/8/2022 1:38,,3,,0.5,,6,2
129,SS-S30-431,Stainless Steel S30431,Stainless Steel,SS,AISI,23,,Inti Sarana Kreasi,,12/9/2022 1:38,12/9/2022 1:38,,3,,0.5,,6,2
130,SS-AIS-305,Stainless Steel AISI305,Stainless Steel,SS,AISI,34,,Inti Sarana Kreasi,,12/10/2022 1:38,12/10/2022 1:38,,3,,0.6,,7,2
131,SS-AIS-309,Stainless Steel AISI309S,Stainless Steel,SS,AISI,58,,Inti Sarana Kreasi,,12/11/2022 1:38,12/11/2022 1:38,,3,,0.5,,6,2
132,SS-AIS-3105,Stainless Steel AISI310S,Stainless Steel,SS,AISI,49,,Inti Sarana Kreasi,,12/12/2022 1:38,12/12/2022 1:38,,3,,0.5,,6,2
133,SS-AIS-316,Stainless Steel AISI316,Stainless Steel,SS,AISI,56,,Inti Sarana Kreasi,,12/13/2022 1:38,12/13/2022 1:38,,3,,0.6,,6,2
134,SS-AIS-316L,Stainless Steel AISI316L,Stainless Steel,SS,AISI,50,,Inti Sarana Kreasi,,12/14/2022 1:38,12/14/2022 1:38,,3,,0.5,,5,2
135,SS-AIS-316N,Stainless Steel AISI316N,Stainless Steel,SS,AISI,69,,Inti Sarana Kreasi,,12/15/2022 1:38,12/15/2022 1:38,,3,,0.5,,6,2
136,SS-AIS-36LN,Stainless Steel AISI316LN,Stainless Steel,SS,AISI,25,,Inti Sarana Kreasi,,12/16/2022 1:38,12/16/2022 1:38,,3,,0.6,,6,2
137,SS-AIS-317,Stainless Steel AISI317,Stainless Steel,SS,AISI,41,,Inti Sarana Kreasi,,12/17/2022 1:38,12/17/2022 1:38,,3,,0.6,,7,2
138,SS-AIS-317L,Stainless Steel AISI317L,Stainless Steel,SS,AISI,25,,Inti Sarana Kreasi,,12/18/2022 1:38,12/18/2022 1:38,,3,,0.4,,5,1
139,SS-N08-904,Stainless Steel N08904,Stainless Steel,SS,AISI,15,,Inti Sarana Kreasi,,12/19/2022 1:38,12/19/2022 1:38,,3,,0.5,,5,2
140,SS-AIS-321,Stainless Steel AISI321,Stainless Steel,SS,AISI,56,,Inti Sarana Kreasi,,12/20/2022 1:38,12/20/2022 1:38,,3,,0.6,,6,2
141,SS-AIS-347,Stainless Steel AISI347,Stainless Steel,SS,AISI,76,,Inti Sarana Kreasi,,12/21/2022 1:38,12/21/2022 1:38,,3,,0.5,,6,2
142,SS-AIS-384,Stainless Steel AISI384,Stainless Steel,SS,AISI,7,,Inti Sarana Kreasi,,12/22/2022 1:38,12/22/2022 1:38,,3,,0.5,,5,2
143,SS-AIS-30CU,Stainless Steel AISI304CU,Stainless Steel,SS,AISI,58,,Inti Sarana Kreasi,,12/23/2022 1:38,12/23/2022 1:38,,3,,0.6,,7,2
144,SS-AIS-329,Stainless Steel AISI329,Stainless Steel,SS,AISI,20,,Inti Sarana Kreasi,,12/24/2022 1:38,12/24/2022 1:38,,3,,0.5,,6,2
